date,ticker,signal_return,rec_holding_days,buy,significance
2019-01-23,TGTX,-1.46000000,4,false,75.60990000
2019-01-23,ACIU,61.95000000,16,false,87.04320000
2019-01-23,CBSH,-0.69000000,16,false,74.61140000
2019-01-23,PLZ.UN,7.49000000,50,true,76.02670000
2019-01-23,AIRG,40.84000000,60,true,80.78060000
2019-01-23,GAU,10.82000000,20,true,96.19330000
2019-01-23,BNGO,37.25000000,89,false,77.75850000
2019-01-23,LRN,-0.88000000,4,false,71.74440000
2019-01-23,LRCX,-18.78000000,2,false,71.74790000
2019-01-23,VSH,0.51000000,74,true,81.46380000
2019-01-23,LTHM,-2.03000000,1,true,75.42730000
2019-01-23,UNF,0.35000000,1,true,75.25110000
2019-01-23,NH,-7.82000000,17,false,84.86230000
2019-01-23,CBAY,0.12000000,4,false,87.04320000
2019-01-23,SOHU,-8.87000000,70,false,74.35910000
2019-01-23,GEF,1.34000000,1,true,74.92250000
2019-01-23,PNE,26.53000000,88,false,86.74920000
2019-01-23,PRTK,14.35000000,66,false,76.92960000
2019-01-23,VSH,6.07000000,1,true,79.98550000
2019-01-23,NVAX,1.46000000,1,true,72.91110000
2019-01-23,CSX,18.92000000,78,true,79.84640000
2019-01-23,GIFI,-4.11000000,40,false,79.43010000
2019-01-23,TAP,5.25000000,22,false,82.97660000
2019-01-23,TUP,37.20000000,67,false,78.00690000
2019-01-23,SKYW,23.10000000,89,true,89.84550000
2019-01-23,PRTA,-17.12000000,20,false,74.90910000
2019-01-23,DOX,-0.51000000,29,true,76.72380000
2019-01-23,ORTX,-23.84000000,32,false,80.01340000
2019-01-23,AL,2.23000000,50,true,70.74900000
2019-01-23,FAST,0.15000000,1,false,73.82730000
2019-01-23,RIG,-8.18000000,54,false,72.75620000
2019-01-23,HSII,0.15000000,2,true,84.39110000
2019-01-23,RIBT,-13.27000000,79,true,84.97460000
2019-01-23,APEN,-4.64000000,2,false,78.81780000
2019-01-23,JKHY,-4.14000000,81,false,76.40240000
2019-01-23,USAS,-14.38000000,5,false,87.04320000
2019-01-23,CMRE,22.25000000,66,true,78.45470000
2019-01-24,JKS,-11.73000000,6,false,70.93040000
2019-01-24,MPWR,-6.70000000,19,false,78.45140000
2019-01-24,ARES,-10.75000000,27,false,71.98160000
2019-01-24,UPWK,0.21000000,2,true,71.10780000
2019-01-24,SUM,-5.08000000,3,false,72.35750000
2019-01-24,VVI,0.27000000,4,false,70.86700000
2019-01-24,F,-2.09000000,23,false,82.13630000
2019-01-24,CBRE,-1.34000000,1,false,70.96700000
2019-01-24,DISH,-8.96000000,20,false,77.68280000
2019-01-24,NM,11.33000000,35,false,72.54330000
2019-01-24,SYX,-12.63000000,85,true,78.26350000
2019-01-24,TSM,0.53000000,2,false,75.51620000
2019-01-24,HCCI,3.59000000,16,false,81.34040000
2019-01-24,CRUS,-5.54000000,2,false,75.42190000
2019-01-24,RCL,-7.01000000,37,false,82.18580000
2019-01-24,RES,3.02000000,16,false,74.90910000
2019-01-24,AVRO,3.64000000,1,false,79.21260000
2019-01-24,GME,26.84000000,28,false,80.09360000
2019-01-24,TROX,31.73000000,73,true,95.15000000
2019-01-24,SMBK,13.30000000,89,true,74.19690000
2019-01-24,TRMB,-11.11000000,76,false,76.32260000
2019-01-24,KAR,-6.45000000,82,false,73.28270000
2019-01-24,IEX,0.81000000,2,false,74.68760000
2019-01-24,HZO,3.15000000,32,true,78.52250000
2019-01-24,BANC,-5.85000000,82,true,72.45250000
2019-01-24,MAN,-2.91000000,1,false,74.54480000
2019-01-24,PIF,-1.18000000,6,false,80.44950000
2019-01-24,CNDT,-12.95000000,44,false,74.30670000
2019-01-24,ADS,16.93000000,82,false,73.80850000
2019-01-24,GD,-2.32000000,17,false,74.90910000
2019-01-24,FNHC,-18.17000000,80,true,90.35620000
2019-01-24,LBRT,13.97000000,89,false,79.03420000
2019-01-24,BXMT,-3.62000000,33,false,75.00780000
2019-01-24,PGR,22.73000000,81,true,83.66750000
2019-01-24,GOGO,-2.49000000,4,false,86.41780000
2019-01-24,SHEN,0.38000000,1,true,78.77000000
2019-01-24,LMT,-16.58000000,68,false,76.79250000
2019-01-24,WRI,-10.28000000,17,false,73.16600000
2019-01-24,SMTC,1.76000000,2,false,85.82170000
2019-01-24,SHEN,-3.22000000,41,true,81.85970000
2019-01-24,AKO.B,0.88000000,1,false,84.57720000
2019-01-24,RGA,-0.71000000,1,false,74.04630000
2019-01-25,PHAS,207.11000000,76,true,74.90910000
2019-01-25,VRSN,-0.12000000,1,false,83.23830000
2019-01-25,CNC,13.94000000,79,false,85.40330000
2019-01-25,RNG,3.09000000,1,false,71.51110000
2019-01-25,ASR,10.94000000,76,false,76.23020000
2019-01-25,DQ,2.49000000,2,false,87.92440000
2019-01-25,DGOC,23.61000000,77,true,75.89620000
2019-01-25,NOVT,-13.27000000,20,false,73.20080000
2019-01-25,OC,-6.62000000,3,false,76.84630000
2019-01-25,MTN,17.47000000,81,true,82.15040000
2019-01-25,HDI,-1.44000000,9,false,70.79770000
2019-01-25,CX,22.56000000,87,false,84.94360000
2019-01-25,F,2.63000000,2,false,74.38440000
2019-01-25,MOG.A,-7.56000000,4,false,77.20570000
2019-01-25,QTT,19.34000000,4,true,87.04320000
2019-01-25,SMTX,35.54000000,70,false,87.29880000
2019-01-25,DGOC,4.63000000,1,true,75.23680000
2019-01-25,RGEN,2.11000000,29,false,82.37850000
2019-01-25,UTHR,18.36000000,73,false,73.46190000
2019-01-25,PDCO,0.00000000,1,false,82.58830000
2019-01-25,CWH,-4.94000000,16,false,74.90910000
2019-01-25,CSII,38.47000000,89,true,80.82590000
2019-01-25,ZG,-2.93000000,3,false,85.52440000
2019-01-25,ZUMZ,-10.18000000,49,false,77.81290000
2019-01-25,LNR,1.58000000,53,false,87.09110000
2019-01-25,NCR,-0.98000000,3,false,70.70030000
2019-01-25,SAFM,-3.39000000,2,false,75.63050000
2019-01-25,JBLU,2.54000000,1,true,84.44940000
2019-01-25,SALM,8.75000000,79,false,75.99250000
2019-01-25,CAT,0.48000000,15,false,83.26540000
2019-01-25,NTEC,4.62000000,6,true,80.81910000
2019-01-25,RRGB,12.25000000,22,false,70.05110000
2019-01-25,FWRD,-16.02000000,18,false,73.19780000
2019-01-25,HA,-2.42000000,18,false,96.18370000
2019-01-25,ALS,-16.49000000,55,false,75.08990000
2019-01-25,XYL,0.73000000,1,false,71.27550000
2019-01-25,HYRE,-3.29000000,76,true,100.00000000
2019-01-25,MAS,-1.55000000,1,false,74.49400000
2019-01-25,MNST,-14.13000000,80,false,75.23970000
2019-01-25,JKS,-17.19000000,17,false,78.22350000
2019-01-25,EXK,-4.85000000,3,false,93.92960000
2019-01-25,PBI,-10.24000000,19,false,74.90910000
2019-01-25,LOPE,26.31000000,50,true,78.46780000
2019-01-25,LOPE,25.40000000,51,true,86.80840000
2019-01-25,GLOB,-3.73000000,24,false,89.61530000
2019-01-25,LXP,-2.70000000,9,false,70.94790000
2019-01-25,COHU,-3.00000000,8,false,70.97390000
2019-01-25,MGLN,0.02000000,1,false,72.49780000
2019-01-25,BCRX,7.41000000,15,false,74.90910000
2019-01-25,KWR,-6.34000000,24,false,76.33900000
2019-01-28,BIO,29.52000000,67,true,74.85470000
2019-01-28,TTEK,28.52000000,58,true,86.39570000
2019-01-28,CIR,20.58000000,41,true,76.75840000
2019-01-28,SWK,-4.31000000,3,false,87.00500000
2019-01-28,PEB,-3.19000000,23,false,74.87850000
2019-01-28,CIR,17.46000000,12,true,77.44320000
2019-01-28,TT,-13.26000000,21,false,77.06220000
2019-01-28,ITCI,7.94000000,1,false,76.15610000
2019-01-28,ESTC,1.90000000,57,true,77.02310000
2019-01-28,LXP,-0.43000000,1,false,74.37970000
2019-01-28,HCSG,5.78000000,5,false,88.39390000
2019-01-28,AGTC,-0.34000000,3,false,83.85330000
2019-01-28,RIGL,-4.33000000,2,false,75.14220000
2019-01-28,VIOT,25.79000000,75,true,95.53290000
2019-01-28,PPC,-2.22000000,23,false,73.51550000
2019-01-28,NVDA,8.09000000,5,true,86.40630000
2019-01-28,ECOL,-7.59000000,30,true,80.27440000
2019-01-28,ATHM,60.51000000,64,true,75.55310000
2019-01-28,NXST,-6.44000000,15,false,70.89580000
2019-01-28,DHC,-0.68000000,20,false,70.23170000
2019-01-28,ARTN.A,3.00000000,4,true,72.85380000
